"","Weekly_Sales","Fuel_Price","Unemployment","Week_Number","EventsLabour.Day","EventsNo_Holiday","month2","month3","month4","month5","month6","month7","month8","month9","month10","month11","month12"
"1",1643690.9,2.572,8.106,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"3",1611968.17,2.514,8.106,3,0,1,1,0,0,0,0,0,0,0,0,0,0
"6",1439541.59,2.667,8.106,6,0,1,0,1,0,0,0,0,0,0,0,0,0
"7",1472515.79,2.72,8.106,7,0,1,0,1,0,0,0,0,0,0,0,0,0
"9",1594968.28,2.719,7.808,9,0,1,0,0,1,0,0,0,0,0,0,0,0
"10",1545418.53,2.77,7.808,10,0,1,0,0,1,0,0,0,0,0,0,0,0
"12",1391256.12,2.795,7.808,12,0,1,0,0,1,0,0,0,0,0,0,0,0
"13",1425100.71,2.78,7.808,13,0,1,0,0,1,0,0,0,0,0,0,0,0
"14",1603955.12,2.835,7.808,14,0,1,0,0,0,1,0,0,0,0,0,0,0
"15",1494251.5,2.854,7.808,15,0,1,0,0,0,1,0,0,0,0,0,0,0
"17",1432069.95,2.759,7.808,17,0,1,0,0,0,1,0,0,0,0,0,0,0
"18",1615524.71,2.705,7.808,18,0,1,0,0,0,0,1,0,0,0,0,0,0
"20",1503284.06,2.637,7.808,20,0,1,0,0,0,0,1,0,0,0,0,0,0
"23",1546074.18,2.642,7.787,23,0,1,0,0,0,0,0,1,0,0,0,0,0
"24",1448938.92,2.623,7.787,24,0,1,0,0,0,0,0,1,0,0,0,0,0
"26",1371986.6,2.64,7.787,26,0,1,0,0,0,0,0,1,0,0,0,0,0
"27",1605491.78,2.627,7.787,27,0,1,0,0,0,0,0,0,1,0,0,0,0
"29",1513080.49,2.664,7.787,29,0,1,0,0,0,0,0,0,1,0,0,0,0
"30",1449142.92,2.619,7.787,30,0,1,0,0,0,0,0,0,1,0,0,0,0
"31",1540163.53,2.577,7.787,31,0,1,0,0,0,0,0,0,0,1,0,0,0
"32",1507460.69,2.565,7.787,32,1,0,0,0,0,0,0,0,0,1,0,0,0
"34",1351791.03,2.624,7.787,34,0,1,0,0,0,0,0,0,0,1,0,0,0
"35",1453329.5,2.603,7.838,35,0,1,0,0,0,0,0,0,0,0,1,0,0
"37",1459409.1,2.72,7.838,37,0,1,0,0,0,0,0,0,0,0,1,0,0
"41",1494479.49,2.728,7.838,41,0,1,0,0,0,0,0,0,0,0,0,1,0
"42",1483784.18,2.771,7.838,42,0,1,0,0,0,0,0,0,0,0,0,1,0
"49",1444732.28,2.976,7.742,49,0,1,0,0,0,0,0,0,0,0,0,0,0
"50",1391013.96,2.983,7.742,50,0,1,0,0,0,0,0,0,0,0,0,0,0
"52",1316899.31,3.01,7.742,52,0,1,0,0,0,0,0,0,0,0,0,0,0
"53",1606629.58,2.989,7.742,53,0,1,1,0,0,0,0,0,0,0,0,0,0
"54",1649614.93,3.022,7.742,54,0,0,1,0,0,0,0,0,0,0,0,0,0
"55",1686842.78,3.045,7.742,55,0,1,1,0,0,0,0,0,0,0,0,0,0
"57",1636263.41,3.288,7.742,57,0,1,0,1,0,0,0,0,0,0,0,0,0
"58",1553191.63,3.459,7.742,58,0,1,0,1,0,0,0,0,0,0,0,0,0
"60",1541102.38,3.473,7.742,60,0,1,0,1,0,0,0,0,0,0,0,0,0
"63",1559889,3.743,7.682,63,0,1,0,0,1,0,0,0,0,0,0,0,0
"64",1564819.81,3.807,7.682,64,0,1,0,0,1,0,0,0,0,0,0,0,0
"66",1629391.28,3.906,7.682,66,0,1,0,0,0,1,0,0,0,0,0,0,0
"67",1604775.58,3.899,7.682,67,0,1,0,0,0,1,0,0,0,0,0,0,0
"69",1466046.67,3.786,7.682,69,0,1,0,0,0,1,0,0,0,0,0,0,0
"70",1635078.41,3.699,7.682,70,0,1,0,0,0,0,1,0,0,0,0,0,0
"71",1588948.32,3.648,7.682,71,0,1,0,0,0,0,1,0,0,0,0,0,0
"72",1532114.86,3.637,7.682,72,0,1,0,0,0,0,1,0,0,0,0,0,0
"74",1488538.09,3.524,7.962,74,0,1,0,0,0,0,0,1,0,0,0,0,0
"75",1534849.64,3.48,7.962,75,0,1,0,0,0,0,0,1,0,0,0,0,0
"77",1396926.82,3.651,7.962,77,0,1,0,0,0,0,0,1,0,0,0,0,0
"80",1525147.09,3.638,7.962,80,0,1,0,0,0,0,0,0,1,0,0,0,0
"81",1530761.43,3.554,7.962,81,0,1,0,0,0,0,0,0,1,0,0,0,0
"83",1550229.22,3.533,7.962,83,0,1,0,0,0,0,0,0,0,1,0,0,0
"84",1540471.24,3.546,7.962,84,1,0,0,0,0,0,0,0,0,1,0,0,0
"86",1380020.27,3.467,7.962,86,0,1,0,0,0,0,0,0,0,1,0,0,0
"87",1394561.83,3.355,7.962,87,0,1,0,0,0,0,0,0,0,1,0,0,0
"89",1493525.93,3.274,7.866,89,0,1,0,0,0,0,0,0,0,0,1,0,0
"90",1502562.78,3.353,7.866,90,0,1,0,0,0,0,0,0,0,0,1,0,0
"93",1594938.89,3.297,7.866,93,0,1,0,0,0,0,0,0,0,0,0,1,0
"94",1539483.7,3.308,7.866,94,0,1,0,0,0,0,0,0,0,0,0,1,0
"100",1497462.72,3.129,7.866,100,0,0,0,0,0,0,0,0,0,0,0,0,1
"103",1394393.84,3.268,7.348,103,0,1,0,0,0,0,0,0,0,0,0,0,0
"104",1319325.59,3.29,7.348,104,0,1,0,0,0,0,0,0,0,0,0,0,0
"108",1539387.83,3.555,7.348,108,0,1,1,0,0,0,0,0,0,0,0,0,0
"109",1688420.76,3.63,7.348,109,0,1,0,1,0,0,0,0,0,0,0,0,0
"111",1677472.78,3.734,7.348,111,0,1,0,1,0,0,0,0,0,0,0,0,0
"112",1511068.07,3.787,7.348,112,0,1,0,1,0,0,0,0,0,0,0,0,0
"113",1649604.63,3.845,7.348,113,0,1,0,1,0,0,0,0,0,0,0,0,0
"115",1621031.7,3.891,7.143,115,0,1,0,0,1,0,0,0,0,0,0,0,0
"117",1468928.37,3.814,7.143,117,0,1,0,0,1,0,0,0,0,0,0,0,0
"118",1684519.99,3.749,7.143,118,0,1,0,0,0,1,0,0,0,0,0,0,0
"120",1595901.87,3.63,7.143,120,0,1,0,0,0,1,0,0,0,0,0,0,0
"123",1697230.96,3.452,7.143,123,0,1,0,0,0,0,1,0,0,0,0,0,0
"124",1630607,3.393,7.143,124,0,1,0,0,0,0,1,0,0,0,0,0,0
"126",1540421.49,3.286,7.143,126,0,1,0,0,0,0,1,0,0,0,0,0,0
"128",1527014.04,3.256,6.908,128,0,1,0,0,0,0,0,1,0,0,0,0,0
"130",1439123.71,3.407,6.908,130,0,1,0,0,0,0,0,1,0,0,0,0,0
"131",1631135.79,3.417,6.908,131,0,1,0,0,0,0,0,0,1,0,0,0,0
"132",1592409.97,3.494,6.908,132,0,1,0,0,0,0,0,0,1,0,0,0,0
"133",1597868.05,3.571,6.908,133,0,1,0,0,0,0,0,0,1,0,0,0,0
"135",1582083.4,3.638,6.908,135,0,1,0,0,0,0,0,0,1,0,0,0,0
"136",1661767.33,3.73,6.908,136,1,0,0,0,0,0,0,0,0,1,0,0,0
"138",1506126.06,3.721,6.908,138,0,1,0,0,0,0,0,0,0,1,0,0,0
"142",1508068.77,3.594,6.573,142,0,1,0,0,0,0,0,0,0,0,1,0,0
"143",1493659.74,3.506,6.573,143,0,1,0,0,0,0,0,0,0,0,1,0,0
